#,Product Categories,Product Name, Price MXN , Price USD ,Brand,Colour,Product Label,Stock,Sells,Projected Restocking,Purchase Rate
10,Consumer & Electronics,BUDS," $2,500.00 ", $134.41 ,SAMSUNG,BLUE,CESABLBUD,101,195,99.05,193%
7,Consumer & Electronics,HEADSET," $5,000.00 ", $268.82 ,BOSE,BLACK,CEBOBLHEA,142,175,40.1,123%
5,Consumer & Electronics,MONITOR," $22,000.00 "," $1,182.80 ",SAMSUNG,GREY,CESAGRMON,213,196,0,92%
18,Consumer & Electronics,MONITOR," $6,500.00 ", $349.46 ,HISENSE,GREY,CEHIGRMON,158,73,0,46%
27,Consumer & Electronics,MICROPHONE," $2,500.00 ", $134.41 ,PANASONIC,BLACK,CEPABLMIC,216,138,0,64%
28,Consumer & Electronics,MICROPHONE," $3,500.00 ", $188.17 ,SONY,BLACK,CESOBLMIC,152,79,0,52%
11,Consumer & Electronics,MOBILE," $22,000.00 "," $1,182.80 ",SAMSUNG,BLUE,CESABLMOB,174,190,24.7,109%
19,Consumer & Electronics,MONITOR," $5,000.00 ", $268.82 ,HUAWEI,GREY,CEHUGRMON,185,122,0,66%
20,Consumer & Electronics,MONITOR," $3,500.00 ", $188.17 ,LG,BLACK,CELGBLMON,55,81,28.75,147%
6,Consumer & Electronics,MP3," $4,500.00 ", $241.94 ,BOSE,BLACK,CEBOBLMP3,111,40,0,36%
1,Consumer & Electronics,SALEXA, $800.00 , $43.01 ,SONY,BLACK,CESOBLSAL,142,62,0,44%
2,Consumer & Electronics,NEST," $1,120.00 ", $60.22 ,SONY,BLACK,CESOBLNES,246,7,0,3%
4,Consumer & Electronics,RADIO," $5,000.00 ", $268.82 ,SONY,BLACK,CESOBLRAD,197,123,0,62%
13,Consumer & Electronics,RADIO," $6,500.00 ", $349.46 ,SAMSUNG,BLACK,CESABLRAD,70,38,0,54%
15,Consumer & Electronics,RADIO, $500.00 , $26.88 ,HISENSE,BLACK,CEHIBLRAD,214,4,0,2%
22,Consumer & Electronics,RADIO," $4,000.00 ", $215.05 ,LG,BLACK,CELGBLRAD,81,44,0,54%
26,Consumer & Electronics,RADIO," $2,500.00 ", $134.41 ,PANASONIC,BLACK,CEPABLRAD,89,54,0,61%
17,Consumer & Electronics,ROUTER," $1,500.00 ", $80.65 ,TP LINK,BLACK,CETPBLROU,59,177,120.95,300%
8,Consumer & Electronics,SOUND BAR," $12,000.00 ", $645.16 ,BOSE,BLACK,CEBOBLSOU,185,27,0,15%
9,Consumer & Electronics,SOUND BAR," $6,900.00 ", $370.97 ,SAMSUNG,BLACK,CESABLSOU,195,7,0,4%
16,Consumer & Electronics,SOUND BAR," $1,500.00 ", $80.65 ,HISENSE,BLACK,CEHIBLSOU,244,192,0,79%
23,Consumer & Electronics,SOUND BAR," $7,000.00 ", $376.34 ,LG,BLACK,CELGBLSOU,190,181,0,95%
25,Consumer & Electronics,SOUND BAR," $1,000.00 ", $53.76 ,PANASONIC,BLACK,CEPABLSOU,184,151,0,82%
30,Consumer & Electronics,ATV," $1,500.00 ", $80.65 ,MICROSOFT,WHITE,CEMIWHATV,225,159,0,71%
3,Consumer & Electronics,TELEVISION," $20,000.00 "," $1,075.27 ",SONY,BLACK,CESOBLTEL,197,137,0,70%
12,Consumer & Electronics,TELEVISION," $25,000.00 "," $1,344.09 ",SAMSUNG,BLACK,CESABLTEL,97,172,79.85,177%
14,Consumer & Electronics,TELEVISION," $4,500.00 ", $241.94 ,HISENSE,BLACK,CEHIBLTEL,83,181,102.15,218%
21,Consumer & Electronics,TELEVISION," $14,000.00 ", $752.69 ,LG,BLACK,CELGBLTEL,207,11,0,5%
24,Consumer & Electronics,TELEVISION," $15,000.00 ", $806.45 ,PANASONIC,BLACK,CEPABLTEL,134,136,8.7,101%
