#,Product Categories,Product Name, Price MXN , Price USD ,Brand,Colour,Product Label,Stock,Sells,Projected Restocking,Purchase Rate
10,Consumer & Electronics,BUDS,"$2,500.00 ",$134.41 ,SAMSUNG,BLUE,CESABLBUD,221,54,24.43%,24%
7,Consumer & Electronics,HEADSET,"$5,000.00 ",$268.82 ,BOSE,BLACK,CEBOBLHEA,218,35,16.06%,16%
5,Consumer & Electronics,MONITOR,"$22,000.00 ","$1,182.80 ",SAMSUNG,GREY,CESAGRMON,183,10,5.46%,5%
18,Consumer & Electronics,MONITOR,"$6,500.00 ",$349.46 ,HISENSE,GREY,CEHIGRMON,223,31,13.90%,14%
27,Consumer & Electronics,MICROPHONE,"$2,500.00 ",$134.41 ,PANASONIC,BLACK,CEPABLMIC,215,3,1.40%,1%
28,Consumer & Electronics,MICROPHONE,"$3,500.00 ",$188.17 ,SONY,BLACK,CESOBLMIC,140,43,30.71%,31%
11,Consumer & Electronics,MOBILE,"$22,000.00 ","$1,182.80 ",SAMSUNG,BLUE,CESABLMOB,350,15,4.29%,4%
19,Consumer & Electronics,MONITOR,"$5,000.00 ",$268.82 ,HUAWEI,GREY,CEHUGRMON,285,52,18.25%,18%
20,Consumer & Electronics,MONITOR,"$3,500.00 ",$188.17 ,LG,BLACK,CELGBLMON,178,95,53.37%,53%
6,Consumer & Electronics,MP3,"$4,500.00 ",$241.94 ,BOSE,BLACK,CEBOBLMP3,350,39,11.14%,11%
1,Consumer & Electronics,SALEXA,$800.00 ,$43.01 ,SONY,BLACK,CESOBLSAL,303,28,9.24%,9%
2,Consumer & Electronics,NEST,"$1,120.00 ",$60.22 ,SONY,BLACK,CESOBLNES,139,77,55.40%,55%
4,Consumer & Electronics,RADIO,"$5,000.00 ",$268.82 ,SONY,BLACK,CESOBLRAD,247,89,36.03%,36%
13,Consumer & Electronics,RADIO,"$6,500.00 ",$349.46 ,SAMSUNG,BLACK,CESABLRAD,230,45,19.57%,20%
15,Consumer & Electronics,RADIO,$500.00 ,$26.88 ,HISENSE,BLACK,CEHIBLRAD,191,61,31.94%,32%
22,Consumer & Electronics,RADIO,"$4,000.00 ",$215.05 ,LG,BLACK,CELGBLRAD,148,32,21.62%,22%
26,Consumer & Electronics,RADIO,"$2,500.00 ",$134.41 ,PANASONIC,BLACK,CEPABLRAD,173,95,54.91%,55%
17,Consumer & Electronics,ROUTER,"$1,500.00 ",$80.65 ,TP LINK,BLACK,CETPBLROU,336,73,21.73%,22%
8,Consumer & Electronics,SOUND BAR,"$12,000.00 ",$645.16 ,BOSE,BLACK,CEBOBLSOU,203,31,15.27%,15%
9,Consumer & Electronics,SOUND BAR,"$6,900.00 ",$370.97 ,SAMSUNG,BLACK,CESABLSOU,200,30,15.00%,15%
16,Consumer & Electronics,SOUND BAR,"$1,500.00 ",$80.65 ,HISENSE,BLACK,CEHIBLSOU,306,61,19.93%,20%
23,Consumer & Electronics,SOUND BAR,"$7,000.00 ",$376.34 ,LG,BLACK,CELGBLSOU,178,79,44.38%,44%
25,Consumer & Electronics,SOUND BAR,"$1,000.00 ",$53.76 ,PANASONIC,BLACK,CEPABLSOU,199,38,19.10%,19%
30,Consumer & Electronics,ATV,"$1,500.00 ",$80.65 ,MICROSOFT,WHITE,CEMIWHATV,258,84,32.56%,33%
3,Consumer & Electronics,TELEVISION,"$20,000.00 ","$1,075.27 ",SONY,BLACK,CESOBLTEL,122,51,41.80%,42%
12,Consumer & Electronics,TELEVISION,"$25,000.00 ","$1,344.09 ",SAMSUNG,BLACK,CESABLTEL,337,96,28.49%,28%
14,Consumer & Electronics,TELEVISION,"$4,500.00 ",$241.94 ,HISENSE,BLACK,CEHIBLTEL,257,38,14.79%,15%
21,Consumer & Electronics,TELEVISION,"$14,000.00 ",$752.69 ,LG,BLACK,CELGBLTEL,186,58,31.18%,31%
24,Consumer & Electronics,TELEVISION,"$15,000.00 ",$806.45 ,PANASONIC,BLACK,CEPABLTEL,347,51,14.70%,15%
29,Consumer & Electronics,ROKU,"$1,100.00 ",$59.14 ,MICROSOFT,BLACK,CEMIBLROK,154,65,42.21%,42%
31,Drugstore,VICODIN,$799.00 ,$42.96 ,PFIZER,N/A,DRPFN/VIC,167,12,7.19%,7%
32,Drugstore,VIAGRA,$469.00 ,$25.22 ,PFIZER,N/A,DRPFN/VIA,200,83,41.50%,42%
33,Drugstore,GENOTROPIN,"$4,071.00 ",$218.87 ,PFIZER,N/A,DRPFN/GEN,261,92,35.25%,35%
34,Drugstore,ELIGARD,"$8,049.00 ",$432.74 ,PFIZER,N/A,DRPFN/ELI,144,28,19.44%,19%
35,Drugstore,BENEFIX,"$27,316.00 ","$1,468.60 ",PFIZER,N/A,DRPFN/BEN,115,82,71.30%,71%
36,Drugstore,MAMISAN,$500.00 ,$26.88 ,PFIZER,N/A,DRPFN/MAM,181,42,23.20%,23%
37,Drugstore,NEUROTIN,"$1,096.00 ",$58.92 ,PFIZER,N/A,DRPFN/NEU,117,75,64.10%,64%
38,Drugstore,XALKORI,"$99,430.00 ","$5,345.70 ",PFIZER,N/A,DRPFN/XAL,122,17,13.93%,14%
39,Drugstore,CELEBREX,"$10,486.00 ",$563.76 ,PFIZER,N/A,DRPFN/CEL,220,6,2.73%,3%
40,Drugstore,SIMPONI,"$29,500.00 ","$1,586.02 ",PFIZER,N/A,DRPFN/SIM,146,54,36.99%,37%
41,Drugstore,VICODIN,$767.04 ,$41.24 ,SHERING-PLOUGH,N/A,DRSHN/VIC,112,65,58.04%,58%
42,Drugstore,VIAGRA,$450.24 ,$24.21 ,SHERING-PLOUGH,N/A,DRSHN/VIA,130,89,68.46%,68%
43,Drugstore,GENOTROPIN,"$3,908.16 ",$210.12 ,SHERING-PLOUGH,N/A,DRSHN/GEN,181,34,18.78%,19%
