Country Name,Indicator Name,Year Of Birth,Value
Afghanistan,New products value added,1962,
Afghanistan,Domestic credit provided,1962,21.27642233
Afghanistan,Exports of goods and services,1962,4.87805112
Afghanistan,Parents rate,1962,7.45
Afghanistan,Imports of goods and services,1962,9.349593306
Afghanistan,"Industry, value added",1962,
Afghanistan,Customers local visits (per year),1962,33.21990244
Afghanistan,Customers density,1962,14.31206078
Afghanistan,"Services, etc., value added",1962,
Afghanistan,New products value added,1967,
Afghanistan,Domestic credit provided,1967,9.917662182
Afghanistan,Exports of goods and services,1967,6.772908423
Afghanistan,Parents rate,1967,7.45
Afghanistan,Imports of goods and services,1967,14.20982704
Afghanistan,"Industry, value added",1967,
Afghanistan,Customers local visits (per year),1967,35.38941463
Afghanistan,Customers density,1967,15.88181233
Afghanistan,"Services, etc., value added",1967,
Afghanistan,New products value added,1972,
Afghanistan,Domestic credit provided,1972,18.88083314
Afghanistan,Exports of goods and services,1972,14.76323124
Afghanistan,Parents rate,1972,7.45
Afghanistan,Imports of goods and services,1972,18.10584979
Afghanistan,"Industry, value added",1972,
Afghanistan,Customers local visits (per year),1972,37.61014634
Afghanistan,Customers density,1972,17.94702693
Afghanistan,"Services, etc., value added",1972,
Afghanistan,New products value added,1977,
Afghanistan,Domestic credit provided,1977,13.83682241
Afghanistan,Exports of goods and services,1977,11.66290433
Afghanistan,Parents rate,1977,7.449
Afghanistan,Imports of goods and services,1977,14.8231755
Afghanistan,"Industry, value added",1977,
Afghanistan,Customers local visits (per year),1977,40.11014634
Afghanistan,Customers density,1977,19.99892626
Afghanistan,"Services, etc., value added",1977,
Afghanistan,New products value added,1982,
Afghanistan,Domestic credit provided,1982,
Afghanistan,Exports of goods and services,1982,
Afghanistan,Parents rate,1982,7.45
Afghanistan,Imports of goods and services,1982,
Afghanistan,"Industry, value added",1982,
Afghanistan,Customers local visits (per year),1982,43.23073171
Afghanistan,Customers density,1982,19.40232362
Afghanistan,"Services, etc., value added",1982,
